dish_name,module,ingredient1_type,ingredient1_name,ingredient1_weight,ingredient2_type,ingredient2_name,ingredient2_weight,ingredient3_type,ingredient3_name,ingredient3_weight,ingredient4_type,ingredient4_name,ingredient4_weight,ingredient5_type,ingredient5_name,ingredient5_weight,total_weight
白飯,主食,全穀雜糧類,白米,125,,,,,,,,,,,,,125
什錦炒麵,主食,全穀雜糧類,油麵,150,豆魚蛋肉類,豬小腿肉,50,蔬菜類,紅蘿蔔,30,蔬菜類,香菇,20,,,,250
金瓜炒米粉,主食,全穀雜糧類,米粉,60,全穀雜糧類,南瓜,100,豆魚蛋肉類,豬小腿肉,50,,,,,,,210
蔥爆牛肉,主餐,豆魚蛋肉類,牛肩肉,80,蔬菜類,青蔥,30,,,,,,,,,,110
芹菜中卷,主餐,豆魚蛋肉類,中卷,100,蔬菜類,芹菜莖,50,,,,,,,,,,150
麻油松阪豬,主餐,豆魚蛋肉類,豬肩肉,80,蔬菜類,薑,10,,,,,,,,,,90
小黃瓜雞丁,主餐,豆魚蛋肉類,雞胸肉,100,蔬菜類,小黃瓜,50,蔬菜類,大蒜,10,,,,,,,160
宮保雞丁,主餐,豆魚蛋肉類,雞胸肉,100,全穀雜糧類,花生,10,蔬菜類,辣椒,10,,,,,,,120
脆皮鴨,主餐,豆魚蛋肉類,鴨肉,250,,,,,,,,,,,,,250
沙茶羊肉,主餐,豆魚蛋肉類,羊肉,100,蔬菜類,大蒜,10,蔬菜類,洋蔥,50,蔬菜類,青椒,50,,,,210
烤地瓜,副餐,全穀雜糧類,地瓜,55,,,,,,,,,,,,,55
九層塔蛋,副餐,豆魚蛋肉類,雞蛋,100,蔬菜類,九層塔,10,,,,,,,,,,110
鹹蛋苦瓜,副餐,豆魚蛋肉類,鴨蛋,50,蔬菜類,苦瓜,100,蔬菜類,大蒜,5,蔬菜類,青蔥,5,,,,160
紅蘿蔔炒蛋,副餐,豆魚蛋肉類,雞蛋,50,蔬菜類,紅蘿蔔,40,,,,,,,,,,90
蝦仁炒蛋,副餐,豆魚蛋肉類,雞蛋,50,豆魚蛋肉類,蝦,50,,,,,,,,,,100
奶油金針菇,副餐,蔬菜類,金針菇,100,豆魚蛋肉類,無鹽奶油,10,,,,,,,,,,110
清炒空心菜,副餐,蔬菜類,空心菜,20,,,,,,,,,,,,,20
鐵板豆腐,副餐,豆魚蛋肉類,豆腐,100,蔬菜類,青蔥,20,蔬菜類,洋蔥,50,,,,,,,170
涼拌山藥,副餐,蔬菜類,山藥,100,,,,,,,,,,,,,100
清炒高麗菜,副餐,蔬菜類,高麗菜,150,蔬菜類,紅蘿蔔,30,,,,,,,,,,180
乾煸四季豆,副餐,蔬菜類,四季豆,150,豆魚蛋肉類,豬肉,50,,,,,,,,,,200
三杯杏包菇,副餐,蔬菜類,杏包菇,150,蔬菜類,薑,10,蔬菜類,大蒜,10,蔬菜類,九層塔,20,,,,190
蜜芋頭,副餐,全穀雜糧類,芋頭,100,,,,,,,,,,,,,100
黑胡椒毛豆,副餐,豆魚蛋肉類,毛豆,150,蔬菜類,黑胡椒,2,蔬菜類,大蒜,5,,,,,,,157
清炒小黃瓜,副餐,蔬菜類,小黃瓜,100,,,,,,,,,,,,,100
