代碼,食物分類大項,食物分類子項,食材名稱,生食/熟食,烹飪方式,保存方式,產地,當季/非當季,農業,加工,包裝,運輸,超市及配送,能源消耗,全部
13024_2,水果類,水果類,小柑橘,生食,,,,,-,0.56,-,0.43,0.02,0.21,1.22
13010,水果類,水果類,木瓜,生食,,,,,0.12,-,-,0.33,0.01,0.08,0.54
13134,水果類,水果類,水果沙拉,生食,,,,,0.16,0.31,0.24,0.3,0.01,0.08,1.1
13109,水果類,水果類,水果蜜餞,生食,,,,,0.1,0.17,0.28,0.22,0.02,0.01,0.79
13129,水果類,水果類,水果蜜餞,生食,,冷藏,,,0.1,0.17,0.28,0.22,0.04,0.01,0.81
20070,蔬菜類,豆類,四季豆,生食,,冷凍,,,0.12,0.12,0.05,0.18,0.17,0.03,0.67
13021,水果類,水果類,奇異果,生食,,,,,0.5,0.01,-,0.38,0,0.08,0.98
13018,水果類,水果類,石榴,生食,,,,,0.12,-,-,0.27,0.01,0.08,0.49
13025_2,水果類,水果類,芒果,生食,,,巴西,,0.16,-,-,10.38,0.02,0.08,10.64
13016,水果類,水果類,百香果,生食,,,,,0.53,-,-,0.27,0.01,0.08,0.89
13054,水果類,水果類,楊桃,生食,,,,,0.16,-,-,0.27,0.02,0.08,0.53
13036,水果類,水果類,西瓜,生食,,,,,0.24,-,-,0.32,0.01,0.08,0.64
13100,水果類,水果類,李子,生食,,,,,0.6,-,-,0.27,0.01,0.08,0.96
13000,水果類,水果類,杏桃,生食,,,,,0.15,-,0.35,0.29,0.02,0.08,0.88
13001,水果類,水果類,杏桃乾,熟食,,,,,0.86,0.31,0.28,0.33,0.02,-,1.8
13024_1,水果類,水果類,柑橘,生食,,,,,0,-,-,0.32,0.01,0.08,0.42
13614,水果類,水果類,柚子,生食,,,,,0.4,-,-,0.27,0.01,0.08,0.77
13066,水果類,水果類,柿子,生食,,,,,0.49,-,-,0.33,0.01,0.08,0.9
13997,水果類,水果類,紅莓,生食,,,,,1.03,-,-,0.43,0.01,0.01,1.48
13005,水果類,水果類,香蕉,生食,,,,,0.32,-,-,0.41,0.02,0.14,0.88
13089,水果類,水果類,香蕉乾,熟食,,,,,1.02,0.68,0.28,0.17,0.02,-,2.17
13043,水果類,水果類,桃子,生食,,,,,0.22,-,-,0.29,0.01,0.08,0.6
13118,水果類,水果類,桃子乾,熟食,烘烤,,,,3.84,3.11,0.56,0.3,0.03,0.32,8.18
