dish_name,module,ingredient1_type,ingredient1_name,ingredient1_weight,ingredient2_type,ingredient2_name,ingredient2_weight,ingredient3_type,ingredient3_name,ingredient3_weight,ingredient4_type,ingredient4_name,ingredient4_weight,ingredient5_type,ingredient5_name,ingredient5_weight
肋眼牛排,主餐,豆魚蛋肉類,小牛胸肉,170,,,,,,,,,,,,
戰斧牛排,主餐,豆魚蛋肉類,牛肋骨,170,,,,,,,,,,,,
肋眼牛排,主餐,豆魚蛋肉類,牛肋排,170,,,,,,,,,,,,
牛小排,主餐,豆魚蛋肉類,牛肋排,170,,,,,,,,,,,,
沙朗牛排,主餐,豆魚蛋肉類,沙朗牛排,170,,,,,,,,,,,,
紐約克牛排,主餐,豆魚蛋肉類,牛側腹,170,,,,,,,,,,,,
菲力牛排,主餐,豆魚蛋肉類,菲力牛排,170,,,,,,,,,,,,
羊排,主餐,豆魚蛋肉類,小山羊,170,,,,,,,,,,,,
羊排,主餐,豆魚蛋肉類,羊排,170,,,,,,,,,,,,
鯖魚,主餐,豆魚蛋肉類,鯖魚,170,,,,,,,,,,,,
鱸魚,主餐,豆魚蛋肉類,鱸魚,170,,,,,,,,,,,,
鱈魚,主餐,豆魚蛋肉類,鱈魚,170,,,,,,,,,,,,
龍蝦,主餐,豆魚蛋肉類,龍蝦,170,,,,,,,,,,,,
蝦,主餐,豆魚蛋肉類,粉紅蝦,170,,,,,,,,,,,,
魷魚,主餐,豆魚蛋肉類,魷魚,170,,,,,,,,,,,,
豬梅花排,主餐,豆魚蛋肉類,豬肉,170,,,,,,,,,,,,
鮭魚,主餐,豆魚蛋肉類,鮭魚,170,,,,,,,,,,,,
松阪豬,主餐,豆魚蛋肉類,豬肩肉上半部,170,,,,,,,,,,,,
戰斧豬排,主餐,豆魚蛋肉類,豬排骨,170,,,,,,,,,,,,
豬里肌,主餐,豆魚蛋肉類,豬裡肌肉,170,,,,,,,,,,,,
雞腿排,主餐,豆魚蛋肉類,雞腿肉,170,,,,,,,,,,,,
油麵,主食,全穀雜糧類,油麵,100,,,,,,,,,,,,
烏龍麵,主食,全穀雜糧類,烏龍麵,100,,,,,,,,,,,,
白扁麵,主食,全穀雜糧類,白扁麵,100,,,,,,,,,,,,
拉麵,主食,全穀雜糧類,拉麵,100,,,,,,,,,,,,
義大利麵,主食,全穀雜糧類,義大利麵,100,,,,,,,,,,,,
螺旋麵,主食,全穀雜糧類,螺旋麵,100,,,,,,,,,,,,
奶油餐包,麵包,全穀雜糧類,奶油餐包,35,,,,,,,,,,,,
香蒜麵包,麵包,全穀雜糧類,香蒜麵包,35,,,,,,,,,,,,
美生菜,沙拉,蔬菜類,美生菜,50,,,,,,,,,,,,
蘿蔓,沙拉,蔬菜類,蘿蔓,50,,,,,,,,,,,,
萵苣,沙拉,蔬菜類,萵苣,50,,,,,,,,,,,,
紫高麗菜,沙拉,蔬菜類,紫高麗菜,50,,,,,,,,,,,,
苜蓿芽,沙拉,蔬菜類,苜蓿芽,50,,,,,,,,,,,,
小黃瓜,沙拉,蔬菜類,小黃瓜,50,,,,,,,,,,,,
雞蛋,配菜,蔬菜類,雞蛋,45,,,,,,,,,,,,
薯條,配菜,蔬菜類,薯條,80,,,,,,,,,,,,
花椰菜,配菜,蔬菜類,綠花椰菜,20,,,,,,,,,,,,
紅蘿蔔,配菜,蔬菜類,紅蘿蔔,15,,,,,,,,,,,,
四季豆,配菜,蔬菜類,四季豆,40,,,,,,,,,,,,
玉米,配菜,蔬菜類,甜玉米,60,,,,,,,,,,,,
玉米濃湯,湯品,湯品類,玉米濃湯,370,,,,,,,,,,,,
鮮蔬羅宋湯,湯品,湯品類,鮮蔬羅宋湯,400,,,,,,,,,,,,
蘑菇濃湯,湯品,湯品類,蘑菇濃湯,380,,,,,,,,,,,,
洋蔥濃湯,湯品,湯品類,洋蔥濃湯,370,,,,,,,,,,,,
南瓜濃湯,湯品,湯品類,南瓜濃湯,370,,,,,,,,,,,,
牛肉清湯,湯品,湯品類,牛肉清湯,350,,,,,,,,,,,,
酥皮濃湯,湯品,湯品類,酥皮濃湯,380,,,,,,,,,,,,
冬瓜茶,飲品,飲品類,冬瓜茶,350,,,,,,,,,,,,
柳橙汁,飲品,飲品類,柳橙汁,350,,,,,,,,,,,,
奶茶,飲品,飲品類,奶茶,350,,,,,,,,,,,,
紅茶,飲品,飲品類,紅茶,350,,,,,,,,,,,,
綠茶,飲品,飲品類,綠茶,350,,,,,,,,,,,,
可樂,飲品,飲品類,可樂,350,,,,,,,,,,,,
